"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3010000","3010000-102-1904-02602","19040808","","03","폐업","02","폐업","19930902","","","","0201768800","97.70","100868","서울특별시 중구 황학동 72-0번지 ","","","한신그릴","20011008000000","I","2018-08-31 23:59:59.0","극장식당","","","극장식당","0","3","주택가주변","지도","상수도전용","","","","","","","","","N","97.7","","",""
"3010000","3010000-102-1967-02477","19671010","","01","영업/정상","01","영업","","","","","02 7777759","81.80","100080","서울특별시 중구 북창동 120-3번지 ","서울특별시 중구 남대문로1길 12 (북창동)","04526","폭스","20150108101139","I","2018-08-31 23:59:59.0","룸살롱","197956.48729587     ","451034.327543893    ","룸살롱","","","","","","","","","","","","","","N","81.8","","",""
"3010000","3010000-102-1968-02422","19680725","","03","폐업","02","폐업","19910605","","","","0207547030","23.40","100142","서울특별시 중구 의주로2가 4-6번지 ","","","오비치킨","20011008000000","I","2018-08-31 23:59:59.0","간이주점","","","간이주점","0","1","기타","지도","상수도전용","","","","","","","","","N","23.4","","",""
"3010000","3010000-102-1968-02511","19681109","","03","폐업","02","폐업","19911223","","","","0202650539","165.24","100858","서울특별시 중구 중림동 123-7번지 ","","","무지개-룸싸롱","20011008000000","I","2018-08-31 23:59:59.0","룸살롱","","","룸살롱","2","2","유흥업소밀집지역","갑","상수도전용","","","","","","","","","N","165.24","","",""
"3010000","3010000-102-1968-02514","19681231","","03","폐업","02","폐업","20070523","","","","02771 4245","208.69","100170","서울특별시 중구 무교동 1-0번지 ","","","힐탑","20060919000000","I","2018-08-31 23:59:59.0","룸살롱","198126.501924718    ","451827.973207366    ","룸살롱","0","0","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","208.69","","",""
"3010000","3010000-102-1970-02611","19700131","","03","폐업","02","폐업","19920509","","","","0207767411",".00","100142","서울특별시 중구 의주로2가 82-0번지 ","","","회림","20011008000000","I","2018-08-31 23:59:59.0","극장식당","","","극장식당","7","10","기타","지도","상수도전용","","","","","","","","","N","0","","",""
"3010000","3010000-102-1971-02556","19710615","","03","폐업","02","폐업","19910202","","","","0209234986","277.83","100871","서울특별시 중구 황학동 2478-0번지 ","","","뉴관광-바","20011008000000","I","2018-08-31 23:59:59.0","비어(바)살롱","201947.084297972    ","451473.964192869    ","비어(바)살롱","8","17","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","277.83","","",""
"3010000","3010000-102-1971-02610","19710415","","03","폐업","02","폐업","19901012","","","","0200000000","495.81","100858","서울특별시 중구 중림동 83-5번지 ","","","영스타","20011008000000","I","2018-08-31 23:59:59.0","극장식당","","","극장식당","8","13","유흥업소밀집지역","갑","상수도전용","","","","","","","","","N","495.81","","",""
"3010000","3010000-102-1971-02629","19710415","","03","폐업","02","폐업","19901012","","","","0200000000","495.81","100858","서울특별시 중구 중림동 83-5번지 ","","","영스타","20011008000000","I","2018-08-31 23:59:59.0","관광호텔나이트(디스코)","","","관광호텔나이트(디스코)","8","13","유흥업소밀집지역","지도","상수도전용","","","","","","","","","N","495.81","","",""
"3010000","3010000-102-1972-02492","19721110","","03","폐업","02","폐업","20060428","","","","0202730167","241.68","100411","서울특별시 중구 광희동1가 143-1번지 ","","","보물섬","20040517000000","I","2018-08-31 23:59:59.0","룸살롱","","","룸살롱","10","20","유흥업소밀집지역","갑","상수도전용","","","","","","","","","N","241.68","","",""
