"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3100000","3100000-102-1989-04958","19891222","","01","영업/정상","01","영업","","","","","02  930 7068","1063.81","139830","서울특별시 노원구 상계동 734-4번지 동방빌딩 ","서울특별시 노원구 노해로 456 동방빌딩 지하층 (상계동)","01762","호박관광나이트클럽","20180124105442","I","2018-08-31 23:59:59.0","고고(디스코)클럽","205106.014705322    ","461240.092957745    ","고고(디스코)클럽","","","","","","","","","","","","","","N","1063.81","","",""
"3100000","3100000-102-1990-04960","19900323","","03","폐업","02","폐업","20111206","","","","02 9524242","574.68","139942","서울특별시 노원구 상계동 731-3번지 지하1층 ","","","폭시","20110615093734","I","2018-08-31 23:59:59.0","간이주점","205255.038442562    ","461244.575305854    ","간이주점","","","","","","","","","","","","","","N","574.68","","",""
"3100000","3100000-102-1990-04961","19900929","","03","폐업","02","폐업","20150406","","","","02 9353010","154.76","139942","서울특별시 노원구 상계동 712-0번지 지상2층 ","서울특별시 노원구 동일로 1413 (상계동 지상2층)","01689","무랑루즈 크럽","20140114161024","I","2018-08-31 23:59:59.0","룸살롱","205226.636812894    ","461377.823143433    ","룸살롱","","","","","","","","","","","","","","N","154.76","","",""
"3100000","3100000-102-1991-04962","19910112","","03","폐업","02","폐업","20180607","","","","02 9353010","598.54","139942","서울특별시 노원구 상계동 712-0번지 지하1층 ","서울특별시 노원구 동일로 1413 (상계동지하1층)","01689","마이웨이","20180607145340","I","2018-08-31 23:59:59.0","룸살롱","205226.636812894    ","461377.823143433    ","룸살롱","","","","","","","","","","","","","","N","598.54","","",""
"3100000","3100000-102-1992-04963","19920907","","03","폐업","02","폐업","20010329","","","","02 9338100","204.96","139942","서울특별시 노원구 상계동 711-11번지 ","","","미가","20010929000000","I","2018-08-31 23:59:59.0","룸살롱","205180.090129874    ","461429.560865478    ","룸살롱","2","2","유흥업소밀집지역","기타","상수도전용","","","","","","","","","N","204.96","","",""
"3100000","3100000-102-1999-04959","19991020","","01","영업/정상","01","영업","","","","","02 9383377","889.03","139942","서울특별시 노원구 상계동 711-13번지 ","서울특별시 노원구 동일로 1417 (상계동)","01689","별이빛나는밤B1","20190731150230","U","2019-08-02 02:40:00.0","고고(디스코)클럽","205221.539176675    ","461414.218921501    ","고고(디스코)클럽","","","","","","","","","","","","","","N","889.03","","",""
"3100000","3100000-102-1999-05852","19990402","","03","폐업","02","폐업","20000518","","","","02 9339496","247.68","139832","서울특별시 노원구 상계동 724-1번지 702703호 ","","","카사노바","20000526000000","I","2018-08-31 23:59:59.0","룸살롱","205439.320706497    ","461335.356566932    ","룸살롱","0","0","유흥업소밀집지역","자율","상수도전용","","","","","","","","","N","247.68","","",""
"3100000","3100000-102-1999-05857","19990406","","01","영업/정상","01","영업","","","","","02  934 3303","240.16","139832","서울특별시 노원구 상계동 724-3번지 지하1층 234호 ","서울특별시 노원구 노해로 494 지하1층 234호 (상계동)","01751","토마토","20191021140858","U","2019-10-23 02:40:00.0","룸살롱","205489.761880316    ","461349.75973809     ","룸살롱","0","0","유흥업소밀집지역","우수","상수도전용","","","","","","","","","N","240.16","","",""
"3100000","3100000-102-1999-05994","19990416","","01","영업/정상","01","영업","","","","","02 9361658","364.58","139832","서울특별시 노원구 상계동 728-1번지 지하1층 ","서울특별시 노원구 동일로 1396 (상계동지하1층)","01751","뉴캐슬","20190409163459","U","2019-04-11 02:40:00.0","룸살롱","205341.234473894    ","461208.986685934    ","룸살롱","","","","","","","","","","","","","","N","364.58","","",""
"3100000","3100000-102-1999-06125","19990616","","03","폐업","02","폐업","20131211","","","","02 9511032","282.66","139942","서울특별시 노원구 상계동 705-2번지 청산빌딩 ","서울특별시 노원구 노해로 451 (상계동 청산빌딩)","01689","밤과음악사이 가요리믹스 노원점","20121128093655","I","2018-08-31 23:59:59.0","고고(디스코)클럽","205067.90796543     ","461303.978899871    ","고고(디스코)클럽","0","0","유흥업소밀집지역","자율","상수도전용","","","","","","","","","N","282.66","","",""
